ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
6C960DEB4F78854E,electric_bike,2024-12-31T01:38:35Z,2024-12-31T01:48:45Z,Halsted St & Roscoe St,TA1309000025,Clark St & Winnemac Ave,TA1309000035,41.9436315,-87.6490833,41.97334764047304,-87.6678554713726,member
C0913EEB2834E7A2,classic_bike,2024-12-21T18:41:26Z,2024-12-21T18:47:33Z,Clark St & Wellington Ave,TA1307000136,Halsted St & Roscoe St,TA1309000025,41.9364968219,-87.6475386582,41.9436315,-87.6490833,member
848A37DD4723078A,classic_bike,2024-12-21T11:41:01Z,2024-12-21T11:52:45Z,Sheridan Rd & Montrose Ave,TA1307000107,Broadway & Barry Ave,13137,41.96167,-87.65464,41.93758231600629,-87.6440978050232,member
3FA09C762ECB48BD,electric_bike,2024-12-26T13:07:27Z,2024-12-26T13:10:54Z,Aberdeen St & Jackson Blvd,13157,Green St & Randolph St*,chargingstx3,41.87772613,-87.65478743,41.883601657275165,-87.64862671494483,member
E60317ADD1A87488,electric_bike,2024-12-13T15:17:55Z,2024-12-13T15:27:32Z,Paulina St & Flournoy St,KA1504000104,Fairfield Ave & Roosevelt Rd,KA1504000102,41.87306108789792,-87.66913488507271,41.866624,-87.694521,member
A83DBA54802B4618,electric_bike,2024-12-08T03:24:46Z,2024-12-08T03:33:21Z,Ravenswood Ave & Lawrence Ave,TA1309000066,Kedzie Ave & Leland Ave,KA1504000126,41.968445,-87.674226,41.96668636205,-87.7080519806,member
D3D6DAF0AB53F245,electric_bike,2024-12-08T18:56:35Z,2024-12-08T19:04:09Z,Paulina St & Flournoy St,KA1504000104,Fairfield Ave & Roosevelt Rd,KA1504000102,41.87306108789792,-87.66913488507271,41.866624,-87.694521,member
3309E4E902565E04,electric_bike,2024-12-09T16:26:13Z,2024-12-09T16:33:29Z,Paulina St & Flournoy St,KA1504000104,Fairfield Ave & Roosevelt Rd,KA1504000102,41.87306108789792,-87.66913488507271,41.866624,-87.694521,member
805D6F3B51AD91AF,electric_bike,2024-12-19T16:30:17Z,2024-12-19T16:44:23Z,Paulina St & Flournoy St,KA1504000104,Michigan Ave & 18th St,13150,41.87306108789792,-87.66913488507271,41.857926,-87.624336,member
8560580463C7E866,electric_bike,2024-12-21T06:38:40Z,2024-12-21T06:41:35Z,Rockwell St & Archer Ave,21379,Leavitt St & Archer Ave,KA1503000068,41.82272,-87.68982,41.82879201994,-87.6806044594,member
10BB8E0B23F267E7,electric_bike,2024-12-28T06:28:03Z,2024-12-28T06:30:31Z,Rockwell St & Archer Ave,21379,Leavitt St & Archer Ave,KA1503000068,41.82272,-87.68982,41.82879201994,-87.6806044594,member
C448A2AA3B4B5FBF,electric_bike,2024-12-26T13:54:31Z,2024-12-26T14:01:59Z,Damen Ave & Foster Ave,KA1504000149,Ravenswood Ave & Berteau Ave,TA1309000018,41.9758109755749,-87.67950989857908,41.957921,-87.673567,casual
64C4DF768EE87149,classic_bike,2024-12-25T23:59:14Z,2024-12-26T00:10:32Z,Rockwell St & Archer Ave,21379,Hoyne Ave & 47th St,KA1504000091,41.82272,-87.68982,41.808227,-87.67718,casual
85DF6C5DF9B938F3,classic_bike,2024-12-11T11:09:47Z,2024-12-11T11:13:25Z,Damen Ave & Leland Ave,TA1307000158,Damen Ave & Foster Ave,KA1504000149,41.967081,-87.679076,41.9758109755749,-87.67950989857908,member
1138DA7008BB8E07,classic_bike,2024-12-05T11:07:15Z,2024-12-05T11:11:51Z,Damen Ave & Leland Ave,TA1307000158,Damen Ave & Foster Ave,KA1504000149,41.967081,-87.679076,41.9758109755749,-87.67950989857908,member
CCDF19B04142D48C,classic_bike,2024-12-16T11:45:03Z,2024-12-16T11:49:46Z,Damen Ave & Leland Ave,TA1307000158,Damen Ave & Foster Ave,KA1504000149,41.967081,-87.679076,41.9758109755749,-87.67950989857908,member
BFE885EE4564ED6B,electric_bike,2024-12-17T16:25:18Z,2024-12-17T16:30:54Z,Ravenswood Ave & Lawrence Ave,TA1309000066,Damen Ave & Foster Ave,KA1504000149,41.968445,-87.674226,41.9758109755749,-87.67950989857908,casual
BAA3F48DBCF7E925,classic_bike,2024-12-03T11:07:56Z,2024-12-03T11:11:36Z,Damen Ave & Leland Ave,TA1307000158,Damen Ave & Foster Ave,KA1504000149,41.967081,-87.679076,41.9758109755749,-87.67950989857908,member
7FDF23CD93FEF229,classic_bike,2024-12-29T01:14:37Z,2024-12-29T01:18:42Z,Damen Ave & Leland Ave,TA1307000158,Damen Ave & Foster Ave,KA1504000149,41.967081,-87.679076,41.9758109755749,-87.67950989857908,member
59EB6A7A67280C15,classic_bike,2024-12-06T10:55:39Z,2024-12-06T11:00:12Z,Damen Ave & Leland Ave,TA1307000158,Damen Ave & Foster Ave,KA1504000149,41.967081,-87.679076,41.9758109755749,-87.67950989857908,member
CF9994425032DBD2,classic_bike,2024-12-07T19:26:06Z,2024-12-07T19:41:49Z,Lincoln Ave & Byron St,23002,Damen Ave & Foster Ave,KA1504000149,41.952372,-87.677296,41.9758109755749,-87.67950989857908,member
C17A937D79ED1DF7,classic_bike,2024-12-11T19:48:12Z,2024-12-11T19:53:16Z,Ravenswood Ave & Lawrence Ave,TA1309000066,Damen Ave & Foster Ave,KA1504000149,41.968445,-87.674226,41.9758109755749,-87.67950989857908,member
